question,answer
looking for what food should i try?,you should try amok and lok lak
is cambodia safe for me.,it is generally safe for tourists
briefly explain how to travel in cambodia please.,you can use tuk tuk or taxi
give me details on do i need a visa immediately.,most tourists need a visa or an e-visa
what about what is the water festival immediately.,bon om touk is a festival with boat racing
tell me is the water safe to drink thank you.,it is better to drink bottled or filtered water
hey how to say hello in khmer please.,you say sarsday or chum reap suor
teach me about how to say thank you for me.,you say orkun in khmer
i want to know what is the local beer if you can.,angkor beer and cambodia beer are popular
hey can i wear shorts in temples,you should cover your knees and shoulders
could you explain is cambodia expensive,it is very affordable for most travelers
give me info on what is the rainy season right now.,it runs from may to october
could you explain internet in cambodia specifically.,wifi is common and local sim cards are cheap
what is the time zone right now.,cambodia is gmt plus seven
what about where is angkor wat thank you.,angkor wat is in siem reap cambodia
give me info on what is angkor wat?,it is a famous temple in cambodia
what to do in siem reap thanks.,you can visit temples and night market
i am curious about where is bayon temple immediately.,bayon temple is in the center of angkor thom
could you explain what is ta prohm thank you.,it is the jungle temple with giant trees in siem reap
give me details on where to watch sunset in siem reap specifically.,phnom bakheng is the most popular spot for sunset
search for what is pub street thanks.,it is the nightlife hub of siem reap with bars and food
can you explain is tonle sap near siem reap thank you.,yes it is the largest freshwater lake near siem reap
give me details on best time to visit temples immediately.,early morning at sunrise is the best time
looking for what is angkor thom for me.,it was the last capital city of the khmer empire
hey where is koh ker thank you.,it is a pyramid temple north of siem reap
is beng mealea far please.,it is about 60km east of siem reap city
could you explain can i visit preah khan if you can.,yes preah khan is a large monastic complex in angkor
looking for what is the terrace of elephants today.,it is part of the ancient royal city of angkor thom
do you know how do i get to angkor wat immediately.,"you can take a tuk tuk, car, or bicycle from siem reap city"
can you tell me is angkor wat open today?,angkor wat is open daily from 5 am to 5:30 pm
hey where is phnom penh if you can.,phnom penh is the capital city of cambodia
tell me what to see in phnom penh right now.,visit the royal palace and the national museum
search for where is the royal palace if you can.,it is located along the riverside in phnom penh
teach me about what is the silver pagoda if you can.,it is a temple in the royal palace with a silver floor
tell me where are the killing fields thank you.,choeung ek is about 15 kilometers from phnom penh
tell me what is s21 prison thank you.,tuol sleng is a former prison museum in phnom penh
what about where is wat phnom today.,it is a hilltop temple that gives the capital its name
search for best place for shopping in phnom penh,central market and russian market are the best
briefly explain where is the riverside thanks.,it is the sisowath quay area along the tonle sap river
please tell me how to get around phnom penh?,passapp or grab for tuk tuks is the easiest way
tell me something about is phnom penh safe at night,it is generally safe but watch your belongings
could you explain where are the best beaches today.,koh rong and koh rong samloem have the best beaches
find how to get to koh rong,you can take a speed ferry from sihanoukville
teach me about what to do in kampot if you can.,visit pepper farms and take a river cruise
please tell me where is bokor mountain,it is a cool hill station near kampot city
could you explain is kep famous for food thanks.,yes kep is famous for fresh blue crab with pepper
can you tell me what is rabbit island thanks.,koh tonsay is a quiet island near kep
do you know where is otres beach specifically.,it is a quieter beach area in sihanoukville
what about is sihanoukville good for islands today.,yes it is the main gateway to koh rong and koh rong samloem
tell me what is kampot pepper if you can.,it is world famous high quality pepper from cambodia
looking for can i swim in sihanoukville thanks.,"yes, victory beach and sokha beach are popular spots"
hey where can i see dolphins thank you.,you can see freshwater dolphins in kratie
